License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Administrative Certificate	https://education.rowan.edu/academics/certificates-and-endorsements/cags/chief-school-administrator-certificate.html	Explicit Graduate/Professional	“...totaling 33 credit hours past the Master’s degree necessary for the certification from the State of New Jersey.” “New Jersey requires 30 credit hours in advanced graduate study ... in addition to the Master’s degree as part of the certification process...”	The text clearly states that holding a Master’s degree is a prerequisite for the New Jersey Chief School Administrator certification, thus an explicit graduate/professional degree requirement exists.	0.9	1,128.00
Administrative Certificate	https://catalog.rider.edu/graduate/colleges-schools/education/programs-certificates/principal-certificate/principal-certificate.pdf	Explicit Graduate/Professional	"Candidates have completed a master’s degree and hold New Jersey certification as a supervisor."	The text explicitly states that candidates must already have a master’s degree, which is a graduate/professional degree, before pursuing the Principal (Administrative) Certificate.	0.9	1,079.00
Administrative Certificate	https://online.wpunj.edu/degrees/education/med/educational-leadership-principal-certification/new-jersey-principal-certification/	Explicit Graduate/Professional	“Coursework within the M.Ed. in Educational Leadership ... meets the certificate’s criteria for required master’s degree/graduate study.”; “A master’s degree or higher is required from a regionally accredited college or university.”	The source text plainly states that candidates must hold a master’s degree (or higher) to obtain the relevant administrative certificates (principal or supervisor), establishing an explicit graduate-level requirement.	0.9	1,059.00
Administrative Certificate	https://catalog.rider.edu/graduate/colleges-schools/education/programs-certificates/principal-certificate/	Explicit Graduate/Professional	“Candidates have completed a master’s degree and hold New Jersey certification as a supervisor.”	The text explicitly states that applicants must already have completed a master’s degree before entering the program that leads to the Principal (Administrative) Certificate, meeting the criterion for an explicit graduate/professional degree requirement.	0.9	1,043.00
Administrative Certificate	https://www.montclair.edu/educational-leadership/principal-certification-post-masters/	Explicit Graduate/Professional	“Applicants must possess a Master’s Degree or higher to pursue the Post-Master’s Principal Certification option.”	The text clearly states that a Master’s degree or higher is required for the certification, which is an explicit graduate-level educational prerequisite.	0.93	1,036.00
Administrative Certificate	https://www.montclair.edu/academics/educational-leadership/	Explicit Graduate/Professional	"...Certificate of Eligibility for individuals who already hold a master’s or doctoral degree..."; "...standard administrative certificate with a supervisor endorsement for those students who hold a master’s degree..."	The text explicitly states that obtaining the administrative (principal or supervisor) certificate is intended for individuals who already possess a master’s or doctoral degree, indicating a graduate‐level degree requirement for initial licensure.	0.88	1,033.00
Administrative Certificate	https://global.rowan.edu/programs/principal-preparation-certificate-of-advanced-graduate-study.html	Explicit Graduate/Professional	"Our program is tailored for candidates who have already earned a master’s degree..."; "Master's degree (or its equivalent) from an accredited institution of higher learning"	The source text explicitly states that applicants must already possess a master’s degree to pursue the credential that meets New Jersey’s administrative (principal) certification requirements, indicating a graduate/professional degree is required for initial licensure.	0.85	1,032.00
Administrative Certificate	https://www.kean.edu/academics/college-education/educational-administration-post-masters-certification-school-business	Explicit Graduate/Professional	"Baccalaureate and master's degree from an accredited college or university"; "Completion of this program satisfies the degree requirements for the New Jersey certification... Under the requirements, in addition to possession of a bachelor's or master's degree in a recognized field of administration"	The source states that to pursue the certification a candidate must already possess a master’s degree (the program itself is a post-master’s certificate), clearly making a graduate degree an explicit prerequisite for initial licensure.	0.9	1,032.00
Administrative Certificate	https://www.njasbo.com/page/sba_info	Explicit Graduate/Professional	"the candidate shall: hold a Master's Degree or higher or be in possession of a Certified Public Accountant License"	The text states that, for initial eligibility, an applicant must possess a Master’s degree (or higher). This is an explicit graduate-level degree requirement, satisfying the definition of 'Explicit Graduate/Professional' despite the alternate CPA-license pathway.	0.82	1,031.00
Administrative Certificate	https://www.alleducationschools.com/teacher-certification/new-jersey/	Explicit Graduate/Professional	“Qualifications for a Principal or School Administrator certificate include ... a master’s degree or higher in leadership or management or other post-master’s degree substitutions.”	The text directly states that obtaining a School Administrator (administrative) certificate requires at least a master’s degree, which is an explicit graduate-level requirement.	0.9	1,021.00
Administrative Certificate	https://www.montclair.edu/educational-leadership/principal-administrative-services-certification/	Explicit Graduate/Professional	"for individuals who already hold a master’s or doctoral degree"	The text directly specifies that applicants must already possess a master’s or doctoral degree to meet the education requirement for the certificate.	0.9	1,013.00
Administrative Certificate	https://graduate.tcnj.edu/program-codes/	Explicit Graduate/Professional	“MEd Educational Leadership – Flexible Program Track—Fulfills requirements for NJ Principal Administrative Certificate” ; “MEd Educational Leadership – Accelerated Program Track—Fulfills requirements for NJ Principal Administrative Certificate” ; “Post-Master’s Certificate in Educational Leadership—Fulfills requirements for NJ Principal Administrative Certificate.”	The source ties attainment of the NJ Administrative (Principal) Certificate to completion of a Master of Education (MEd) program or a post-master’s certificate, explicitly indicating that a graduate-level degree is required for initial licensure.	0.8	947
Administrative Certificate	https://www.pps-nj.us/pps/Departments/Human%20Resources/Job%20Description/Supervisor%20of%20Special%20Education.pdf?1728823654	Explicit Graduate/Professional	"Master’s Degree in special education or educational administration/leadership;"	The qualifications list specifically requires possession of a Master’s degree, which is an explicit graduate‐level requirement for obtaining/holding the referenced administrative certificate.	0.88	946
Administrative Certificate	https://teaching-certification.com/teaching/new-jersey-principal-certification/	Explicit Graduate/Professional	"You must meet one of the following degree requirements: - A master’s degree in educational leadership, curriculum and instruction, or leadership/management"	The text states that an applicant must hold a master’s degree (or a master’s plus additional post-master study), which is an explicit graduate-level requirement.	0.93	936
Administrative Certificate	https://felician-grad.cleancatalog.net/education-leadership/post-masters-certificate-school-principal-endorsement	Explicit Graduate/Professional	"Admissions Criteria: 1. Master's degree"	The admissions criteria for the principal (administrative) endorsement explicitly require a Master's degree, which is a graduate-level credential, making the degree requirement clearly a Graduate/Professional degree.	0.93	930
Administrative Certificate	https://catalog.georgian.edu/graduate/school-education/educational-services-advanced-studies-certificate-masters-degree-programs/school-administrator/	Explicit Graduate/Professional	"School Administrator (Superintendent), Post-Master's Endorsement Program"	The certificate is offered only as a Post-Master’s endorsement, which explicitly presumes completion of a master’s degree, making a graduate/professional degree the minimum requirement for licensure.	0.86	920
Administrative Certificate	https://graduate.tcnj.edu/program-codes/?full-site=true	Explicit Graduate/Professional	“MEd Educational Leadership – Flexible Program Track Fulfills requirements for NJ Principal Administrative Certificate”; “MEd Educational Leadership – Accelerated Program Track Fulfills requirements for NJ Principal Administrative Certificate”	The source text directly states that completing a Master of Education (a graduate-level degree) in Educational Leadership satisfies the requirements for obtaining the New Jersey Principal Administrative Certificate, showing an explicit graduate degree requirement for this administrative license.	0.83	899
Administrative Certificate	https://graduate.tcnj.edu/program-codes/?full-site=false	Explicit Graduate/Professional	"MEd Educational Leadership – Flexible Program Track Fulfills requirements for NJ Principal Administrative Certificate"; "Post-Master’s Certificate in Educational Leadership Fulfills requirements for NJ Principal Administrative Certificate"	The only pathways in the text that are stated to meet the New Jersey Administrative Certificate requirements involve a Master of Education (MEd) or a Post-Master’s certificate (which presupposes an earned master’s). This shows that a graduate-level degree is explicitly required for initial administrative certification.	0.8	869
Administrative Certificate	https://gse.rutgers.edu/degree/ed-m-in-educational-administration-and-supervision-with-principal-and-supervisor-certification-option-a/	Explicit Graduate/Professional	"Program Level Masters"; "The Ed.M. in Educational Administration and Supervision (Option A) program … prepares candidates to obtain New Jersey … certification"	The only pathway described for obtaining the Administrative/School leadership certificates is completion of an Ed.M. (Master of Education) program, making a graduate degree an explicit prerequisite in the provided source.	0.7	838
Administrative Certificate	https://www.njasa.net/Page/1526	Could Not Determine	“Those requirements include graduate studies, an internship, a passing score on a State-approved examination, and five years of successful school experience.”	The text mentions unspecified “graduate studies” but does not state that a specific degree (master’s, doctorate, or otherwise) must be earned, nor does it explicitly reference a bachelor’s or associate degree. Because the level and completion requirements of the studies are unclear, the minimum degree requirement cannot be confidently identified from the provided excerpt.	0.4	831
Administrative Certificate	https://catalog.georgian.edu/graduate/school-education/educational-services-advanced-studies-certificate-masters-degree-programs/school-administrator/school-administrator.pdf	Explicit Graduate/Professional	"# SCHOOL ADMINISTRATOR (SUPERINTENDENT), POSTMASTER'S ENDORSEMENT PROGRAM"	The program leading to the certificate is labeled as a "Post-Master’s Endorsement Program," which by definition presupposes that applicants already hold a master’s degree; therefore, a graduate degree is explicitly implicated as the minimum educational requirement.	0.65	815
Administrative Certificate	https://gse.rutgers.edu/degree/endorsement-program-for-school-administrator/	No Degree Found	"This program does not lead to a degree of any kind." ; "The 3-credit endorsement program is available only to individuals who hold a New Jersey Standard Principal Certificate or Principal Certificate of Eligibility." (no mention of any associate’s, bachelor’s, or graduate degree requirement)	The source text specifies prerequisite certifications and materials but never states that a particular academic degree must be held; therefore, no degree requirement can be confirmed from the information provided.	0.85	799
Administrative Certificate	https://global.rowan.edu/programs/ma-in-school-administration.html	No Degree Found	The provided text describes a Rowan University Master’s program that "meets the requirements" for New Jersey administrative certification, but it never states that the New Jersey Administrative Certificate itself requires a master’s, bachelor’s, or any specific college degree.	The source discusses a degree program that can lead to certification but does not explicitly list any degree requirement imposed by the State for obtaining the Administrative Certificate; therefore, no degree requirement can be confirmed from this text alone.	0.71	786
Administrative Certificate	https://certification.tcnj.edu/advanced-certificates/?full-site=true	Could Not Determine	"applications must not be submitted until after the program completion, or degree conferral dates have been posted to official transcripts."	The text references a required "degree conferral" but provides no information about the level (associate, bachelor’s, master’s, etc.), leaving the minimum degree requirement indeterminate.	0.3	764
Special Education Certificate	https://nj.gov/education/license/endorsements/2475CE.pdf	Explicit Bachelor's	“New Jersey requires that candidates for certification achieve a cumulative GPA of at least 3.0 ... for students graduating ... in a baccalaureate degree program, higher degree program or a State-approved postbaccalaureate certification program…”	The text specifies that applicants must have graduated from a baccalaureate (or higher) degree program, directly indicating a bachelor’s degree is required for initial certification.	0.85	1,252.00
Air Conditioning and Refrigeration Technician Certification	https://www.njconsumeraffairs.gov/hvacr/Pages/FAQ.aspx	No Degree Found	"Option 1 Completion of a four (4) year U.S. Department of Labor approved apprenticeship in HVACR followed by one (1) year of journeyperson experience under a licensed Master HVACR Contractor."	The regulations list four alternative ways to meet the education requirement. Option 1—apprenticeship plus experience—does not involve any college degree, demonstrating that a degree is not mandatory for initial licensure.	0.9	1,250.00
Instructional Certificate	https://nj.gov/education/license/endorsements/1530S.pdf	Explicit Bachelor's	A minimum of a bachelor’s degree is required from a regionally accredited college/university.	The source explicitly states that applicants must hold at least a bachelor’s degree, clearly satisfying the 'Explicit Bachelor's' category.	0.95	1,248.00
Physical Therapist License	https://www.njconsumeraffairs.gov/Statutes/physical-therapy-law.pdf	Explicit Graduate/Professional	"To be eligible for licensure as a physical therapist, an applicant shall: ... c. Possess at least a master's degree from an accredited college or university, except for an applicant who prior to January 1, 2003, possessed a minimum of a bachelor's degree..." (45:9-37.22)	The statute directly states that applicants must possess "at least a master's degree" from an accredited college or university for initial licensure, which is an explicit graduate-level degree requirement.	0.95	1,248.00
Engineer-In-Training	https://www.njconsumeraffairs.gov/Statutes/professional-engineers-land-surveyors-law.pdf	Explicit Bachelor's	"(3) As an engineer-in-training: a. Graduation from a board approved curriculum in engineering or engineering technology of four years or more; and successfully passing the fundamentals portion of the written examination..."	The statute requires completion of a board-approved engineering or engineering technology curriculum that is four years or longer, which corresponds to an undergraduate (bachelor’s) program, making a bachelor’s degree explicitly required for Engineer-in-Training certification.	0.9	1,247.00
Inspector License	https://www.njconsumeraffairs.gov/regulations/Chapter-40-Subchapter-15-Home-Inspection-Advisory-Committee.pdf	No Degree Found	"Has successfully completed high school or its equivalent;" and requires completion of "an approved course of study of 180 hours" or experience alternative—no mention of Associate’s, Bachelor’s, or Graduate degree.	The rule lists only a high school diploma (or equivalent) plus specific training or supervised experience; it never references any college-level degree, so no degree is required for initial licensure.	0.9	1,247.00
Advanced Nurse Practitioner License	https://www.nursepractitionerlicense.com/nurse-practitioner-licensing-guides/new-jersey-nurse-practitioner-licensure-steps/	Explicit Graduate/Professional	"You are expected to have obtained at least a master’s degree through a Board-approved [program] that prepares participants to serve a specific population focus."	The text plainly states that applicants must hold at minimum a master’s degree to be licensed as an Advanced Practice Nurse–Nurse Practitioner in New Jersey, which is an explicit graduate‐level requirement.	0.94	1,073.00
Advanced Nurse Practitioner License	https://www.nursinglicensure.org/np-state/new-jersey-nurse-practitioner/	Explicit Graduate/Professional	“Prospective APNs must complete graduate education… A student may complete 1) a graduate degree program in the advanced practice role or 2) a master’s in nursing and a post-master program in the advanced practice role.”	The text explicitly states that applicants must complete graduate-level education, specifically a master’s in nursing or another graduate program for the advanced practice role, making the minimum requirement an explicit graduate/professional degree.	0.9	1,034.00
Advanced Nurse Practitioner License	https://nursinglicensemap.com/states/new-jersey-nursing-license/	Explicit Graduate/Professional	"Education: Master’s-Level Nursing Program, Including a Course in Pharmacology"; table shows "Nurse Practitioner (NP) | Yes" under "Master’s Required?"	The text explicitly states that an Advanced Practice Nurse/Nurse Practitioner must complete a Master's-level nursing program, clearly requiring a graduate degree for initial licensure.	0.95	1,017.00
Advanced Nurse Practitioner License	https://www.msnedu.org/new-jersey/	Explicit Graduate/Professional	"To be eligible for APN certification, candidates must ... Earn an MSN at minimum with at least 30 hours in pharmacology training"	The text directly states that obtaining APN (advanced nurse practitioner) certification requires earning a Master of Science in Nursing (MSN), an explicit graduate-level degree.	0.95	977
Advanced Nurse Practitioner License	https://www.graduatenursingedu.org/new-jersey/	Explicit Graduate/Professional	“To work toward APN certification in New Jersey, you must successfully complete a master’s-level program designed to educate and prepare either nurse practitioners or clinical nurse specialists.”	The text directly states that applicants must complete a master’s-level program to obtain APN certification, which is an explicit graduate degree requirement.	0.9	918
Advanced Nurse Practitioner License	https://www.upwardlyglobal.org/career-coaching/professional-licensing-guides/new-jersey/nurse/	Explicit Graduate/Professional	"The advanced practice nurse is the highest licensure in nursing practice and involves graduate school education, examination, and licensing processes beyond the level required of RNs."	The text states that becoming an Advanced Practice Nurse (which encompasses Nurse Practitioners) "involves graduate school education," explicitly requiring education at a graduate/professional level for initial licensure.	0.86	902
Advanced Nurse Practitioner License	https://barryustorage.blob.core.windows.net/assets/docs/main/advanced-education-requirements.pdf	Explicit Graduate/Professional	"States that have adopted a master's degree requirement: ... New Jersey"	The summary table explicitly lists New Jersey among states that require a master's degree for advanced practice nursing licensure, establishing a graduate-level degree as the minimum educational prerequisite.	0.75	884
Advanced Nurse Practitioner License	https://www.aacnnursing.org/portals/42/publications/dnpessentials.pdf	Explicit Graduate/Professional	“The master’s degree (MSN) historically has been the degree for specialized advanced nursing practice… With development of DNP programs, this new degree will become the preferred preparation for specialty nursing practice.”  “The DNP is a graduate degree and is built upon the generalist foundation acquired through a baccalaureate…”.	The source explicitly states that advanced nursing practitioners are prepared through either a master’s (MSN) or a Doctor of Nursing Practice (DNP), both of which are graduate-level degrees, indicating an explicit graduate/professional degree requirement for entry into advanced nursing practice.	0.8	878
Advanced Nurse Practitioner License	https://catalogue.shu.edu/graduate/college-nursing/pediatric-primary-care-nurse-practitioner-ms/	Explicit Graduate/Professional	"The College of Nursing offers six 35-49 credit majors leading to the Master of Science in Nursing degree."; "Baccalaureate degree with a major in nursing from an N.L.N.A.C., A.C.E.N., or C.C.N.E. accredited program;"	The program that prepares individuals for the Advanced Nurse Practitioner role culminates in a Master of Science in Nursing, an explicit graduate degree requirement mentioned in the text, establishing a Graduate/Professional degree as the minimum educational level for licensure.	0.83	871
Advanced Nurse Practitioner License	https://law.justia.com/codes/new-jersey/title-45/section-45-11-47-1/	No Degree Found	The provided section only discusses completion of "two credits of educational programs or topics related to end-of-life care" as part of continuing education; it contains no language specifying a required Associate’s, Bachelor’s, Master’s, or other degree for initial certification.	The statute excerpt addresses continuing education for already-certified advanced practice nurses and does not set out any initial educational degree requirement, so no degree requirement can be identified from this text.	0.87	854
Advanced Nurse Practitioner License	https://www.aanp.org/advocacy/new-jersey	No Degree Found	“Requirements include a registered nurse (RN) license, graduation from an NP program and national certification.”	The only educational reference is completion of an NP program; the text does not specify that this program confers an associate’s, bachelor’s, master’s, or doctoral degree, so no explicit degree requirement can be identified.	0.85	846
Advanced Nurse Practitioner License	https://psychapn.org/nj-apn-statutes/	No Degree Found	"Has successfully completed an educational program, including pharmacology, approved by the board;" (45:11-47 a.(4)) – this is the only educational criterion stated, and it does not specify any Associate’s, Bachelor’s, or Graduate degree.	The statute lists completion of a board-approved educational program and holding RN licensure but never mentions any specific college degree level; therefore, no degree requirement can be concluded from the provided text.	0.85	840
Advanced Nurse Practitioner License	https://catalogue.shu.edu/graduate/college-nursing/pediatric-primary-care-nurse-practitioner-ms/pediatric-primary-care-nurse-practitioner-ms.pdf	Explicit Graduate/Professional	"The College of Nursing offers six 35-49 credit majors leading to the Master of Science in Nursing degree." ; "For the Master of Science degree, satisfactory completion of 42 credits in the following areas is required:"	The program that prepares candidates for nurse practitioner roles culminates in a Master of Science in Nursing, explicitly indicating a graduate‐level degree is required for this pathway to licensure.	0.85	806
Advanced Nurse Practitioner License	https://berkeleycollege.edu/catalogs/graduate-2024-2025/school-of-health-studies-msn-program/master-of-science-in-nursing-academic-offering/master-of-science-in-nursing/index.html	Could Not Determine	The text only describes Berkeley College’s Master of Science in Nursing (MSN) program that “prepares nurse professionals for advanced practice in Family Nurse Practitioner,” but never states that a Master’s (or any degree) is a mandatory prerequisite for obtaining an Advanced Nurse Practitioner license in New Jersey.	While an MSN program is discussed, the SourceText does not explicitly tie possession of that degree to licensure; it merely notes the program ‘prepares’ graduates for advanced practice and certification. Therefore the educational requirement for initial licensure cannot be definitively determined from this text.	0.35	739
Advanced Practice Nurse	https://regulations.justia.com/states/new-jersey/title-13/chapter-37/subchapter-7/section-13-37-7-2/	Explicit Graduate/Professional	"An applicant for certification as an advanced practice nurse shall possess: 1. A masters or doctoral degree in nursing from a school accredited by a nursing accrediting association recognized by the U.S. Department of Education;"	The regulation explicitly states that applicants must hold either a master's or doctoral degree in nursing, which is a graduate-level requirement.	0.96	1,235.00
Veterinary Licence	https://www.njconsumeraffairs.gov/regulations/Chapter-44-State-Board-of-Veterinary-Medical-Examiners.pdf	Explicit Graduate/Professional	13:44-1.1(a)(1)(i) "Has been awarded a degree in veterinary medicine from a veterinary college or university accredited by the American Veterinary Medical Association (AVMA)"; 13:44-1.1(a)(1)(ii) "Will be awarded a degree in veterinary medicine during the current academic year from a college or university accredited by the American Veterinary Medical Association"	The regulation explicitly states that an applicant must possess (or be in the process of earning) a degree in veterinary medicine from an AVMA-accredited college/university, which is a professional doctorate (DVM). Hence, an explicit graduate/professional degree is required for initial licensure.	0.94	1,247.00
Certified Alcohol and Drug Counselor	https://www.njconsumeraffairs.gov/regulations/chapter-34c-alcohol-and-drug-counselors.pdf	No Degree Found	"Received a bachelor's degree or an associate's degree or a high school diploma or a certificate of high school equivalency;" (13:34C-2.3(b)1)	The regulation expressly permits applicants to qualify with only a high school diploma or equivalency, indicating that no college degree is mandatory for initial certification as a Certified Alcohol and Drug Counselor.	0.9	1,245.00
Electrical Contractor License	https://www.nj.gov/dca/divisions/codes/offices/landscape-export/docs/elec_contract_lic_act.pdf	No Degree Found	“Applicants for examination … shall present proof … (2) Holds a high school diploma or equivalency certificate; and (3) Has had … at least five years of practical hands-on experience …”  The rule lists optional alternatives, e.g., “Earned a bachelor’s degree in electrical engineering and completed two years of practical hands-on experience,” but a degree is not mandatory because applicants may qualify solely through experience or apprenticeship.	The regulations specify only a high-school diploma plus experience as the baseline requirement. While a bachelor’s degree can reduce the experience needed, it is one of several optional pathways, not a compulsory prerequisite. Therefore, no college degree is required for initial licensure.	0.9	1,243.00
Advanced Practice Nurse	https://www.nursepractitionerlicense.com/nurse-practitioner-licensing-guides/new-jersey-nurse-practitioner-licensure-steps/	Explicit Graduate/Professional	"You are expected to have obtained at least a master’s degree through a Board-approved [program]"	The text clearly states that applicants must possess at least a master’s degree, an explicit graduate-level requirement for initial licensure as an Advanced Practice Nurse.	0.95	1,092.00
Advanced Practice Nurse	https://www.nursingworld.org/practice-policy/workforce/what-is-nursing/aprn/	Explicit Graduate/Professional	“APRNs hold at least a Master’s degree, in addition to the initial nursing education and licensing required for all Registered Nurses (RNs).”	The text clearly states that APRNs must possess at least a Master’s degree, which is an explicit graduate-level requirement for initial licensure.	0.9	1,072.00
Advanced Practice Nurse	https://www.nursingworld.org/practice-policy/workforce/what-is-nursing/aprn/?returnurl=https%3a%2f%2fwww.nursingworld.org%2fpractice-policy%2fworkforce%2fwhat-is-nursing%2faprn%2f	Explicit Graduate/Professional	“APRNs hold at least a Master’s degree, in addition to the initial nursing education and licensing required for all Registered Nurses (RNs).”	The text explicitly states that APRNs must possess at minimum a Master’s degree, which is a graduate-level credential, leaving no ambiguity about the educational requirement.	0.9	1,071.00
Advanced Practice Nurse	https://www.aacnnursing.org/portals/42/publications/dnpessentials.pdf	Explicit Graduate/Professional	"The master’s degree (MSN) historically has been the degree for specialized advanced nursing practice. With development of DNP programs, this new degree will become the preferred preparation for specialty nursing practice."  "The DNP is a graduate degree and is built upon the generalist foundation acquired through a baccalaureate or advanced generalist master’s in nursing."	The source text states that advanced practice nursing education has traditionally required at least an MSN and is transitioning to a DNP, both of which are graduate-level credentials, making a graduate/professional degree an explicit prerequisite for entering an Advanced Practice Nurse role.	0.78	1,024.00
Advanced Practice Nurse	https://www.nursinglicensure.org/np-state/new-jersey-nurse-practitioner/	Explicit Graduate/Professional	"Prospective APNs must complete graduate education and then pursue national certification."; "A student may complete 1) a graduate degree program in the advanced practice role or 2) a master’s in nursing and a post-master program in the advanced practice role."	The source explicitly states that candidates must finish a graduate-level (master’s) program in the advanced practice role, establishing a clear graduate/professional degree requirement for initial APN licensure.	0.9	1,011.00
Advanced Practice Nurse	https://regulations.justia.com/states/new-jersey/title-13/chapter-37/subchapter-7/section-13-37-7-1/	Could Not Determine	“Proof that the applicant has successfully completed the educational requirements of an advanced practice nurse as set forth in N.J.A.C. 13:37-7.2 or, when the advanced practice nurse specializes in anesthesia and does not hold a masters degree, the certification requirements of N.J.A.C. 13:37-7.5.”	The text points to another rule (13:37-7.2) for the actual educational requirements and even allows an anesthesia pathway for those who "do not hold a masters degree." Because the required degree level is not specified in this excerpt, and alternative non-master’s pathways may exist, the minimum degree requirement cannot be determined from the provided language alone.	0.35	996
Advanced Practice Nurse	https://www.njconsumeraffairs.gov/Statutes/nursing-law.pdf	No Degree Found	"Has successfully completed an educational program, including pharmacology, approved by the board;" (45:11-47a(4)) and no mention of associate, bachelor's, master's, or other degree level in the listed requirements for certification.	The statute lists only completion of a Board-approved educational program and RN status, with no explicit or implicit reference to any college degree level; therefore no degree requirement can be inferred from the provided text.	0.85	989
Advanced Practice Nurse	https://www.graduatenursingedu.org/new-jersey/	Explicit Graduate/Professional	"To work toward APN certification in New Jersey, you must successfully complete a master’s-level program designed to educate and prepare either nurse practitioners or clinical nurse specialists."	The text expressly states that applicants seeking Advanced Practice Nurse certification must complete a master’s-level program, which is a graduate degree requirement. Although CRNAs may petition for an exemption, the primary stated pathway mandates a master’s degree, satisfying the definition of an explicit graduate/professional requirement.	0.8	976
Advanced Practice Nurse	https://www.msnedu.org/new-jersey/	Explicit Graduate/Professional	"To be eligible for APN certification, candidates must ... Earn an MSN at minimum with at least 30 hours in pharmacology training"	The requirement explicitly states that applicants must hold a Master of Science in Nursing (MSN), a graduate-level degree, making a graduate/professional degree the minimum educational prerequisite for Advanced Practice Nurse licensure in New Jersey.	0.9	921
Advanced Practice Nurse	https://nursinglicensemap.com/states/new-jersey-nursing-license/	Explicit Graduate/Professional	"Education: Master’s-Level Nursing Program, Including a Course in Pharmacology"	The licensure section for Advanced Practice Nurse clearly states that applicants must complete a Master’s-level nursing program, which is an explicit requirement for a graduate degree.	0.95	887
